Date,Open,High,Low,Close,Volume,Adj Close
2022-03-22 06:36:00,2893.36,2894.06,2893.35,2893.95,7605.223,2893.95
2022-03-22 06:37:00,2893.96,2896.64,2893.95,2896.41,8202.7939,2896.41
2022-03-22 06:38:00,2896.43,2896.43,2894.01,2894.57,11809.706,2894.57
2022-03-22 06:39:00,2894.57,2896.42,2894,2896.2,7403.5323,2896.2
2022-03-22 06:40:00,2896.42,2897.18,2896.42,2896.57,4480.6947,2896.57
2022-03-22 06:41:00,2896.77,2896.77,2895.24,2895.38,12942.3643,2895.38
2022-03-22 06:42:00,2895.38,2896.16,2895.38,2895.62,4781.5836,2895.62
2022-03-22 06:43:00,2895.62,2895.76,2893.25,2893.25,5500.0629,2893.25
2022-03-22 06:44:00,2893.25,2893.25,2892.65,2892.65,7468.8285,2892.65
2022-03-22 06:45:00,2892.64,2892.64,2890.06,2891.73,6792.7461,2891.73
2022-03-22 06:46:00,2891.74,2893.68,2890.98,2893.68,3693.157,2893.68
2022-03-22 06:47:00,2894,2894.34,2893.3,2894.33,5825.1239,2894.33
2022-03-22 06:48:00,2894.48,2895.78,2893.93,2895.78,5128.0757,2895.78
2022-03-22 06:49:00,2895.94,2898.44,2895.94,2897.51,14467.9737,2897.51
2022-03-22 06:50:00,2898.07,2898.07,2896.42,2896.59,7765.9243,2896.59
2022-03-22 06:51:00,2896.59,2897.53,2896.01,2896.01,9049.6366,2896.01
2022-03-22 06:52:00,2896.01,2896.68,2896,2896.57,4986.9513,2896.57
2022-03-22 06:53:00,2896.58,2897.6,2896.58,2897.6,3810.0097,2897.6
2022-03-22 06:54:00,2897.6,2899.2,2897.59,2899.19,7041.6292,2899.19
2022-03-22 06:55:00,2899.19,2899.19,2896.63,2896.69,34873.7744,2896.69
2022-03-22 06:56:00,2896.7,2896.97,2896.01,2896.21,12644.0529,2896.21
2022-03-22 06:57:00,2896.22,2897.73,2896.22,2897.38,13241.0012,2897.38
2022-03-22 06:58:00,2897.38,2897.73,2897.38,2897.72,9146.6377,2897.72
2022-03-22 06:59:00,2897.73,2898.82,2897.73,2898.82,6160.5135,2898.82
2022-03-22 07:00:00,2898.99,2898.99,2897.21,2897.21,5934.2501,2897.21
2022-03-22 07:01:00,2897.18,2897.48,2897.01,2897.48,5221.8932,2897.48
2022-03-22 07:02:00,2897.49,2936,2897.49,2931.63,11736.8711,2931.63
2022-03-22 07:03:00,2931.64,2946.73,2927.24,2943,5423.6703,2943
2022-03-22 07:04:00,2943.15,2945.35,2939.6,2941.59,4541.216,2941.59
2022-03-22 07:05:00,2941.6,2942.23,2920.49,2920.77,6275.9248,2920.77
2022-03-22 07:06:00,2920.77,2929.4,2920.77,2925.37,5824.7573,2925.37
2022-03-22 07:07:00,2925.36,2925.97,2916.51,2920.93,4379.4798,2920.93
2022-03-22 07:08:00,2920.91,2925.94,2920.91,2925.64,8104.1696,2925.64
2022-03-22 07:09:00,2925.37,2928.14,2924.81,2927.14,3995.1517,2927.14
2022-03-22 07:10:00,2927.13,2935.11,2923.28,2935.08,4068.122,2935.08
2022-03-22 07:11:00,2935.08,2937.96,2934.34,2935,6665.4837,2935
2022-03-22 07:12:00,2934.69,2935.38,2931.06,2934.51,5906.5338,2934.51
2022-03-22 07:13:00,2934.74,2934.74,2929,2930.42,8529.8013,2930.42
2022-03-22 07:14:00,2930.41,2933.74,2928.75,2933.32,5533.2169,2933.32
2022-03-22 07:15:00,2933.33,2937.99,2933.22,2937.99,4216.1586,2937.99
2022-03-22 07:16:00,2937.99,2944.5,2937.99,2943.97,3547.2366,2943.97
2022-03-22 07:17:00,2943.74,2943.74,2939.34,2940.1,11393.3832,2940.1
2022-03-22 07:18:00,2940.1,2940.25,2937.83,2939.45,5931.8273,2939.45
2022-03-22 07:19:00,2939.36,2939.85,2936.08,2939.24,6162.179,2939.24
2022-03-22 07:20:00,2939.24,2942.58,2939.24,2942.58,2813.195,2942.58
2022-03-22 07:21:00,2942.59,2943,2941.24,2941.82,3174.7359,2941.82
2022-03-22 07:22:00,2941.8,2941.8,2939.58,2940.99,2423.7663,2940.99
2022-03-22 07:23:00,2941,2949.26,2941,2945.96,9926.611,2945.96
2022-03-22 07:24:00,2945.96,2951.81,2945.96,2950.19,11040.7109,2950.19
2022-03-22 07:25:00,2950.66,2955.5,2950.55,2953.43,3081.1867,2953.43
2022-03-22 07:26:00,2953.48,2953.48,2948.27,2949.56,2790.8976,2949.56
2022-03-22 07:27:00,2949.56,2952.07,2948.8,2952.01,2441.7059,2952.01
2022-03-22 07:28:00,2952.07,2964.84,2952.07,2963.18,3016.2803,2963.18
2022-03-22 07:29:00,2963.18,2966,2959.25,2962.9,9877.7175,2962.9
2022-03-22 07:30:00,2962.9,2965,2954.25,2956.64,4420.1373,2956.64
2022-03-22 07:31:00,2956.64,2958.97,2955.42,2958.97,2414.5327,2958.97
2022-03-22 07:32:00,2958.98,2965.43,2958.97,2961.16,2916.6575,2961.16
2022-03-22 07:33:00,2961.16,2964.73,2961.16,2963.84,4435.5226,2963.84
